id_factura,importe_de_venta,importe_coste,tipo,horas_totales,horas_facturadas,fecha,contador_de_serie_de_factura,nº_documento,cliente,forma_de_pago,base_total,descuento,iva_total,total_factura,fecha_cliente
32327.0,14.0,0.0,Licencia SW,0,0,2021-06-01,44.0,832.0,id_803,2,14.0,0.0,2.94,16.94,2016-04-08 13:01:00
32303.0,44.78,0.0,RMM,0,0,2021-06-01,44.0,808.0,id_1088,0,149.01,0.0,31.29,180.3,2019-12-30 09:09:00
32303.0,104.23,0.0,Copia de seguridad,0,0,2021-06-01,44.0,808.0,id_1088,0,149.01,0.0,31.29,180.3,2019-12-30 09:09:00
32261.0,314.0,0.0,Venta accesorios,0,0,2021-06-01,44.0,766.0,id_803,1,314.0,0.0,65.94,379.94,2016-04-08 13:01:00
32251.0,49.5,0.0,Horas sueltas,0,0,2021-06-01,44.0,756.0,id_1110,17,4043.76,0.0,849.19,4892.95,2021-01-11 10:03:00
32251.0,72.0,0.0,HW/SW Seguridad,0,0,2021-06-01,44.0,756.0,id_1110,17,4043.76,0.0,849.19,4892.95,2021-01-11 10:03:00
32251.0,115.8,0.0,Licencia SW,0,0,2021-06-01,44.0,756.0,id_1110,17,4043.76,0.0,849.19,4892.95,2021-01-11 10:03:00
32240.0,39.6,0.0,Horas sueltas,0,0,2021-06-01,44.0,745.0,id_162,1,251.22,0.0,52.76,303.98,2016-04-08 13:00:00
32222.0,882.9,0.0,Venta de equipos,0,0,2021-06-01,44.0,727.0,id_162,1,882.9,0.0,185.41,1068.31,2016-04-08 13:00:00
32321.0,578.0,0.0,Venta de equipos,0,0,2021-06-01,44.0,826.0,id_267,1,578.0,0.0,121.38,699.38,2016-04-08 13:00:00
32371.0,12.98,0.0,Venta accesorios,0,0,2021-06-22,44.0,875.0,id_916,2,12.98,0.0,2.73,15.71,2016-04-08 13:01:00
32376.0,4.69,0.0,Venta accesorios,0,0,2021-06-22,44.0,880.0,id_162,2,4.69,0.0,0.98,5.67,2016-04-08 13:00:00
32382.0,3512.88,0.0,Venta accesorios,0,0,2021-06-28,44.0,886.0,id_1110,15,3512.88,0.0,737.7,4250.58,2021-01-11 10:03:00
32383.0,643.5,0.0,Horas sueltas,0,0,2021-06-28,44.0,887.0,id_1110,15,643.5,0.0,135.14,778.64,2021-01-11 10:03:00
32387.0,1560.0,0.0,Desarrollo SW,0,0,2021-06-28,44.0,891.0,id_1093,12,1560.0,0.0,327.6,1887.6,2020-02-28 12:07:00
32386.0,945.0,0.0,Desarrollo SW,0,0,2021-06-28,44.0,890.0,id_1093,12,945.0,0.0,198.45,1143.45,2020-02-28 12:07:00
32388.0,500.0,0.0,Mantenimiento SW,0,0,2021-06-28,44.0,892.0,id_1086,2,500.0,0.0,105.0,605.0,2019-12-11 10:20:00
32391.0,2370.0,0.0,Mantenimiento SW,0,0,2021-06-28,44.0,895.0,id_1093,12,2370.0,0.0,497.7,2867.7,2020-02-28 12:07:00
32392.0,632.5,0.0,Venta de equipos,0,0,2021-06-28,44.0,896.0,id_803,1,632.5,0.0,132.83,765.33,2016-04-08 13:01:00
32395.0,120.51,0.0,Mantenimiento SW,0,0,2021-07-01,44.0,899.0,id_643,0,127.5,0.0,26.78,154.28,2016-04-08 13:01:00
32397.0,105.92,0.0,SMI,0,0,2021-07-01,44.0,901.0,id_488,1,324.94,0.0,68.24,393.18,2016-04-08 13:00:00
32397.0,64.58,0.0,RMM,0,0,2021-07-01,44.0,901.0,id_488,1,324.94,0.0,68.24,393.18,2016-04-08 13:00:00
32397.0,23.4,0.0,RMM,0,0,2021-07-01,44.0,901.0,id_488,1,324.94,0.0,68.24,393.18,2016-04-08 13:00:00
32397.0,131.04,0.0,Licencia MS,0,0,2021-07-01,44.0,901.0,id_488,1,324.94,0.0,68.24,393.18,2016-04-08 13:00:00
32401.0,127.53,0.0,SMI,0,0,2021-07-01,44.0,905.0,id_1055,1,307.13,0.0,64.5,371.63,2018-04-11 19:09:00
32401.0,54.22,0.0,Licencia MS,0,0,2021-07-01,44.0,905.0,id_1055,1,307.13,0.0,64.5,371.63,2018-04-11 19:09:00
32401.0,37.4,0.0,Copia de seguridad,0,0,2021-07-01,44.0,905.0,id_1055,1,307.13,0.0,64.5,371.63,2018-04-11 19:09:00
32401.0,64.58,0.0,RMM,0,0,2021-07-01,44.0,905.0,id_1055,1,307.13,0.0,64.5,371.63,2018-04-11 19:09:00
32401.0,23.4,0.0,RMM,0,0,2021-07-01,44.0,905.0,id_1055,1,307.13,0.0,64.5,371.63,2018-04-11 19:09:00
32412.0,92.42,0.0,SMI,0,0,2021-07-01,44.0,916.0,id_162,1,230.67,0.0,48.44,279.11,2016-04-08 13:00:00
32412.0,33.79,0.0,RMM,0,0,2021-07-01,44.0,916.0,id_162,1,230.67,0.0,48.44,279.11,2016-04-08 13:00:00
32412.0,8.66,0.0,Licencia MS,0,0,2021-07-01,44.0,916.0,id_162,1,230.67,0.0,48.44,279.11,2016-04-08 13:00:00
32412.0,10.92,0.0,Licencia MS,0,0,2021-07-01,44.0,916.0,id_162,1,230.67,0.0,48.44,279.11,2016-04-08 13:00:00
